                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3783,                 1.4092,                0.83972,                0.70682,                0.45355,                   0.59,                0.24524,                 2.0412,                 1.2443,                0.79106,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.3855,                  1.424,                0.83739,                 0.7306,                0.42965,                0.54584,                 0.1981,                 2.2864,                 1.2181,                0.79803,               0.001307,               0.001307,               0.001307
                     37,                 2.4284,                 1.4402,                 0.8474,                0.74115,                0.51485,                0.55638,                0.19545,                 2.1949,                 1.1165,                0.79759,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.4422,                 1.4014,                0.85619,                0.71081,                0.48674,                0.50125,                0.17334,                 2.1857,                 1.1953,                0.80349,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.5773,                 1.3423,                 0.8457,                0.77715,                0.55247,                0.64102,                0.21559,                 2.2039,                 1.2083,                0.79052,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.3759,                 1.2211,                0.85479,                0.72758,                0.47599,                0.59774,                0.20941,                 2.2586,                 1.4004,                0.79694,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.3784,                 1.3073,                 0.8507,                0.70001,                0.57761,                0.62593,                0.22132,                 2.1512,                 1.1098,                0.80075,               0.001208,               0.001208,               0.001208
                     42,                 2.3108,                    1.3,                0.84808,                0.63653,                0.45086,                0.45969,                0.16131,                 2.2142,                 1.5131,                0.81365,              0.0011882,              0.0011882,              0.0011882
                     43,                  2.281,                 1.2339,                0.85562,                0.69174,                0.54455,                0.59672,                0.20034,                 2.4579,                 1.2706,                0.80621,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.3895,                 1.3375,                0.82813,                0.64773,                0.47525,                0.52269,                0.19875,                 2.1621,                 1.1911,                0.79396,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.3793,                 1.3664,                0.85246,                0.60629,                0.45742,                0.47816,                0.15703,                 2.3887,                 1.3161,                0.79507,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.3119,                   1.19,                0.85609,                0.74302,                0.43564,                0.51354,                 0.1701,                 2.2998,                 1.1771,                0.80913,               0.001109,               0.001109,               0.001109
                     47,                 2.4279,                 1.2986,                0.84892,                0.72087,                0.47525,                0.54189,                 0.1885,                 2.3014,                 1.2534,                0.80458,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.4093,                 1.2743,                0.84339,                0.74686,                0.49505,                0.53717,                  0.192,                 2.2644,                 1.1612,                0.79777,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.3005,                 1.2882,                0.83804,                0.67791,                0.41584,                0.54579,                0.21614,                  1.889,                 1.1753,                0.79225,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.2677,                 1.2654,                0.83437,                0.59696,                0.45462,                0.53432,                0.19983,                 1.9825,                 1.3448,                0.78905,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.2256,                 1.1939,                0.83568,                0.75539,                0.58097,                0.59555,                0.19895,                 2.1571,                 1.1415,                0.80255,                0.00101,                0.00101,                0.00101
                     52,                 2.4032,                 1.2771,                0.83948,                0.77078,                0.46612,                0.53891,                0.19873,                 1.9922,                 1.3608,                0.80278,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.1688,                  1.134,                0.83714,                0.81002,                0.39604,                0.62996,                0.23519,                 2.1118,                 1.4245,                0.79114,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.3614,                 1.2263,                0.84436,                0.79615,                0.58005,                0.62698,                0.23937,                 1.9968,                 1.0641,                0.80291,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.3057,                  1.195,                0.84249,                0.57597,                0.43564,                0.48947,                0.17384,                 2.1916,                 1.1828,                0.79294,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.4087,                 1.2225,                0.84435,                0.66219,                0.52404,                0.54131,                0.21008,                 2.2794,                 1.1316,                0.80003,               0.000911,               0.000911,               0.000911
                     57,                 2.2741,                 1.1058,                0.83463,                  0.673,                0.50495,                0.55071,                 0.2316,                 2.0405,                0.94401,                0.79116,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.2671,                 1.0589,                0.83655,                0.71671,                0.48515,                0.57144,                0.21487,                 2.1705,                 1.1258,                0.78814,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.0898,                 1.0814,                0.82113,                0.77791,                0.52023,                0.59017,                0.23901,                 2.0234,                 1.0331,                0.79032,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.2414,                 1.0804,                0.85188,                0.72272,                0.54455,                0.58972,                0.21404,                 2.1848,                 1.0937,                0.79029,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.1918,                 1.0445,                0.82979,                0.75362,                0.51485,                0.60616,                0.22691,                 2.0575,                 1.1069,                0.78923,               0.000812,               0.000812,               0.000812
                     62,                 2.1472,                 1.0197,                0.83288,                0.62652,                0.55446,                0.60265,                0.22477,                 2.1069,                 1.1446,                0.78418,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.1531,                  1.112,                0.83459,                0.71147,                0.47525,                0.54671,                0.21341,                 1.9321,                 1.1224,                0.78105,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.0419,                 1.0146,                0.82657,                0.66654,                0.50495,                0.57319,                0.26853,                 1.8934,                0.97961,                0.78376,              0.0007526,              0.0007526,              0.0007526
