                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2808,                 30.484,                0.96134,                      0,                      0,                      0,                      0,                 3.8758,                 23.252,                0.92357,                0.00052,                0.00052,                0.00052
                      2,                 3.3578,                 16.632,                0.94317,                0.00053,                0.15842,                0.00033,                0.00012,                 3.0373,                 15.632,                0.85415,              0.0010495,              0.0010495,              0.0010495
                      3,                 3.2338,                 12.152,                0.93144,                0.00149,                0.41584,                0.04896,                0.01052,                 3.1786,                 12.004,                0.82922,              0.0015683,              0.0015683,              0.0015683
                      4,                 3.1486,                 11.076,                0.89326,                0.81663,                0.13242,                0.24693,                0.07084,                 3.0223,                 6.4402,                0.83298,              0.0019406,              0.0019406,              0.0019406
